"","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL"
"1450871_PM_a_at",-5.37945418991246,6.91260088161425,-43.542788535618,1.87387330309536e-12,8.45885147750276e-08,16.4554897315742,"Bcat1"
"1439622_PM_at",-4.09732736080286,6.51497131815985,-28.1559905154935,1.24857004032519e-10,8.35685874317534e-07,14.068615318876,"Rassf4"
"1436119_PM_at",-3.70450131611191,7.64282516539013,-26.1281780557674,2.55649569465587e-10,1.28225302391623e-06,13.5643097169505,"Aldh1l2"
"1424688_PM_at",-3.60613184664624,8.09286615764971,-26.6442491126398,2.11962000611458e-10,1.19602208370023e-06,13.6987637809377,"Creb3l3"
"1428455_PM_at",-3.34340698692995,7.10957256177142,-12.2110783593181,3.3025625482758e-07,9.25968794979614e-05,7.33520641053101,"Col14a1"
"1424528_PM_at",-3.31093173951262,6.588276611352,-28.0470387469431,1.29589533245226e-10,8.35685874317534e-07,14.0430986750385,"Cgref1"
"1434499_PM_a_at",3.28409613910504,7.08139904209925,36.6411269325762,9.90692626175338e-12,2.23604279190905e-07,15.627572800675,"Ldhb"
"1449565_PM_at",3.2526909473782,7.39591199372365,8.14142218932945,1.21673771903734e-05,0.000837999879301112,3.69896921732724,"Cyp2g1"
"1437125_PM_at",-3.03513929099583,6.65549893979699,-15.0166485770915,4.87121942418373e-08,2.64412539183951e-05,9.16698453085086,"Camk2a"
"1451263_PM_a_at",3.01662636004544,6.83030814495768,5.03227444569508,0.000561912330919951,0.0099847215895237,-0.285895947468514,"Fabp4"
